iter	prior	likelihood	posterior	prior_A	|A|	#indels	|indels|	#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/#indels	P1/|indels|	P1/#substs	Scale[1]*|T|	|T|	rs07:log_rate	rs07:mean_length	Rates.gamma:alpha	hky85:kappa	hky85:pi[A]	hky85:pi[C]	hky85:pi[G]	hky85:pi[T]	scale[1]	scale1
0	-70.658257585014383	-3819.708235123391660	-3890.366492708405985	-37.119205670768217	1140	0	0	575	-3819.708235123391660	-37.119205670768217	1140	0	0	575	0.777542973332419	0.457982860984404	-3.8817015349224335	2.0917780462071507	0.25950235868418564	18.506468534969517	0.31069299271277034	0.3005004147679251	0.1288176522495099	0.2599889402697945	1.6977556139571295	1.6977556139571295
1	-59.507268683817884	-3823.379431816389570	-3882.886700500207553	-1.336808886330688	1140	0	0	575	-3823.379431816389570	-1.336808886330688	1140	0	0	575	0.737994920091369	2.211993755584188	-8.202942676070235	2.4002686888828317	0.2541342037112865	17.393220678517427	0.3286946577528335	0.25997115429421985	0.13628139388975608	0.2750527940631905	0.3336333650256914	0.3336333650256914
2	-46.391094257633313	-3808.925489824319357	-3855.316584081952897	-3.005333232300881	1140	0	0	577	-3808.925489824319357	-3.005333232300881	1140	0	0	577	0.828523443659557	0.448669239583359	-7.649348903423395	8.190188878198278	0.2516203546773658	22.537126718789356	0.30823464054913546	0.2745680085315802	0.15308665957807682	0.2641106913412075	1.8466241287879142	1.8466241287879142
3	-49.863648625504034	-3815.535495649456152	-3865.399144274960236	-3.929095908411639	1140	0	0	577	-3815.535495649456152	-3.929095908411639	1140	0	0	577	0.870968253282241	1.219207046319891	-6.810183105148908	5.68244524833406	0.21415546897868434	19.0776806539799	0.29780993810165324	0.29799632567004414	0.14901544575393416	0.2551782904743686	0.7143727194746871	0.7143727194746871
4	-44.981688678983311	-3817.721296607994191	-3862.702985286977309	-4.406918929998575	1140	0	0	577	-3817.721296607994191	-4.406918929998575	1140	0	0	577	0.844874980346835	0.562312373184858	-7.256890615387928	20.901957587855932	0.2262988038845153	18.67670334266348	0.29877446926011125	0.298961460490752	0.14625932175361045	0.25600474849552624	1.5025011375111332	1.5025011375111332
5	-53.050763178605905	-3816.648670109519571	-3869.699433288125419	-3.866657859013305	1140	0	0	575	-3816.648670109519571	-3.866657859013305	1140	0	0	575	0.922911743874502	0.887851904341868	-7.469915734806317	14.325965503959193	0.2766264342475209	20.238078384259037	0.2783440584254059	0.2900115780841574	0.14188081848963008	0.2897635450008067	1.0394883869271212	1.0394883869271212
6	-49.184981598651540	-3813.797184505098357	-3862.982166103749933	-2.099575092442482	1140	0	0	577	-3813.797184505098357	-2.099575092442482	1140	0	0	577	0.774088778046605	0.735298151467523	-7.924490402715561	4.306056694591842	0.29095655301954465	20.036085518367337	0.28755301059236726	0.29960654758180066	0.1438307737319065	0.2690096680939256	1.0527549627340462	1.0527549627340462
7	-50.033091541246627	-3811.312031709238454	-3861.345123250484903	-0.571281020373015	1140	0	0	575	-3811.312031709238454	-0.571281020373015	1140	0	0	575	0.834889313360056	1.057452083164924	-8.723159048775045	1.2985735674014172	0.22978139339913725	19.622881798877682	0.29374384247007285	0.29815065790074297	0.13167251300708752	0.27643298662209664	0.7895292152257682	0.7895292152257682
8	-40.924340972852200	-3818.350063148171103	-3859.274404121023508	-0.874074552419640	1140	0	0	575	-3818.350063148171103	-0.874074552419640	1140	0	0	575	0.987173862767277	0.411196638945184	-8.29687846908281	1.367066368132413	0.2050572876039106	18.982729561826265	0.3084678604347791	0.29578343173723187	0.12768567668499156	0.2680630311429974	2.400734269860792	2.400734269860792
9	-55.777506524355573	-3811.233291363811077	-3867.010797888166508	-0.536248354869044	1140	0	0	577	-3811.233291363811077	-0.536248354869044	1140	0	0	577	0.850344305906536	0.895268831973080	-8.357775459347948	1.084664270187245	0.21478768778684817	24.015858421425285	0.2927938363884806	0.27621022559398006	0.14947200745122619	0.2815239305663132	0.949820071399631	0.949820071399631
